Name,Assignee,Author,Author (Override),Blocked by,Blocking,Canonical URL,Chatbot Ready,Class,Completeness,Content Type,Cover Image,Created by,Due,Entry Type,Excerpt,Keywords,Language,Last Reviewed,Last edited,Parent item,Priority,Publish Date,Publish Status,Related Knowledge,SEO Description,SEO Title,Series,Slug,Source,Status,Sub-item
Digital Allies - Technology Stack & Architecture,,Anthony Cassella,,,,,No,Digital Allies - Technical (Digital%20Allies%20-%20Technical%2028afc742b9f781f4905ad03919f857dc.html),Complete,"Code Examples, Technical Docs",,Code Unicorn LLC,,Documentation,,Development,,,"October 25, 2025 6:51 PM",,High,,,,,,,,https://github.com/cassellac/DigitalAllies_,New,
Digital Allies - Accessibility Standards & Implementation,,Anthony Cassella,,,,,No,Digital Allies - Technical (Digital%20Allies%20-%20Technical%2028afc742b9f781f4905ad03919f857dc.html),Complete,"Client-Facing, Technical Docs",,Code Unicorn LLC,,Documentation,,Accessibility,,,"October 16, 2025 6:47 AM",,Critical,,,,,,,,https://digitalallies.net/accessibility-guide.html,New,
Digital Allies - Core Services Overview,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing",,Code Unicorn LLC,,Reference,,Services,EN,"November 17, 2025","November 17, 2025 9:56 PM",Digital Allies - Business Information & Contact Details (Digital%20Allies%20-%20Business%20Information%20&%20Contact%20De%2028afc742b9f7819d8aa0c78d89d241ad.html),Critical,,,,,,,,https://digitalallies.net/services.html,Published to KB,"Digital Allies - Design & Branding (Digital%20Allies%20-%20Design%20&%20Branding%20df8f1163d1eb4d84aaa41baa3d1ce784.html), Digital Allies - Web Development (Digital%20Allies%20-%20Web%20Development%20e014b76c4a5549b4a4109ac8a9540588.html), Digital Allies - Technology Consulting (Digital%20Allies%20-%20Technology%20Consulting%20abcaabfd2d5940f6af578e13caaf144d.html), Digital Allies - SEO Optimization (Digital%20Allies%20-%20SEO%20Optimization%2054eaa62d31cc4eae8d31bb2b5cdc7ab7.html), Digital Allies - Website Maintenance (Digital%20Allies%20-%20Website%20Maintenance%2092b7906d7ac24114b6d06cf43fc618e9.html), Digital Allies - Accessibility Audits (Digital%20Allies%20-%20Accessibility%20Audits%201ecd476d92a649469e58854583ba8a5c.html), Digital Allies - How We Work (Digital%20Allies%20-%20How%20We%20Work%2084c09f50b62e4ca5875eeae912134b1e.html)"
Digital Allies - Content Management System,,Anthony Cassella,,,,,No,,,,,Code Unicorn LLC,,,,,,,"October 16, 2025 6:47 AM",,,,,Digital Allies - Content Management System & Blog Workflow (Digital%20Allies%20-%20Content%20Management%20System%20&%20Blog%20%2028afc742b9f7813b9184f1df15a6b3cc.html),,,,,https://github.com/cassellac/DigitalAllies_,New,
Digital Allies - Content Management System & Blog Workflow,,Anthony Cassella,,,,,No,Digital Allies - Content (Digital%20Allies%20-%20Content%2028afc742b9f7810d8423f62fb92161eb.html),Complete,"Process/Workflow, Technical Docs",,Code Unicorn LLC,,Process,,CMS,,"October 12, 2025 4:00 AM (MST)","October 16, 2025 6:47 AM",,High,,,"Digital Allies - Content Management System (Digital%20Allies%20-%20Content%20Management%20System%2028afc742b9f7811cb223e13655534b84.html), Digital Allies - Performance & SEO Strategy (Digital%20Allies%20-%20Performance%20&%20SEO%20Strategy%2028afc742b9f781a6b9dce75534173fe5.html)",,,,,https://github.com/cassellac/DigitalAllies_,New,
Digital Allies - Business Information & Contact Details,,Anthony Cassella,,,,,Yes,Digital Allies - Services (Digital%20Allies%20-%20Services%2028afc742b9f781fca8d6cc17c4aadaea.html),Complete,"Business Info, Client-Facing",,Code Unicorn LLC,,Reference,,Services,EN,"November 17, 2025","November 17, 2025 9:56 PM",,Critical,,,,,,,,https://digitalallies.net/,Published to KB,Digital Allies - Core Services Overview (Digital%20Allies%20-%20Core%20Services%20Overview%2028afc742b9f78179bfbbee6237d8350c.html)
"Digital Allies - Animated Logo CSS & JS Code, Colors & Fonts ",,Anthony Cassella,,,,,No,Digital Allies - Content (Digital%20Allies%20-%20Content%2028afc742b9f7810d8423f62fb92161eb.html),Complete,"Code Examples, Technical Docs",,Code Unicorn LLC,,Documentation,,"Design, Development",,"October 16, 2025","November 11, 2025 11:44 AM",,High,,,Digital Allies Brand Site (Digital%20Allies%20Brand%20Site%20291fc742b9f7800c83dac9c741ee2d0c.html),,,,,https://digitalallies.net/,New,
Digital Allies - Repository Structure & Files,,Anthony Cassella,,,,,Yes,Digital Allies - Technical (Digital%20Allies%20-%20Technical%2028afc742b9f781f4905ad03919f857dc.html),Complete,Technical Docs,,Code Unicorn LLC,,Reference,,Development,,,"October 19, 2025 6:59 AM",,Medium,,,,,,,,https://github.com/cassellac/DigitalAllies_,New,
Digital Allies - Performance & SEO Strategy,,Anthony Cassella,,,,,Yes,Digital Allies - Technical (Digital%20Allies%20-%20Technical%2028afc742b9f781f4905ad03919f857dc.html),Complete,Technical Docs,,Code Unicorn LLC,,Documentation,,"Analytics, Performance, SEO",,,"October 19, 2025 7:00 AM",,High,,,Digital Allies - Content Management System & Blog Workflow (Digital%20Allies%20-%20Content%20Management%20System%20&%20Blog%20%2028afc742b9f7813b9184f1df15a6b3cc.html),,,,,https://github.com/cassellac/DigitalAllies_,New,
Digital Allies - Design System & Brand Guidelines,,Anthony Cassella,,,,,No,Digital Allies - Design (Digital%20Allies%20-%20Design%2028afc742b9f78129b010eefb2252cec7.html),Complete,Technical Docs,,Code Unicorn LLC,,Reference,,Design,,,"November 11, 2025 4:23 PM",,High,,,,,,,,https://github.com/cassellac/DigitalAllies_,New,
Digital Allies - Multilingual Implementation (English/Spanish),,Anthony Cassella,,,,,Yes,Digital Allies - Content (Digital%20Allies%20-%20Content%2028afc742b9f7810d8423f62fb92161eb.html),Verified,"Code Examples, Technical Docs",,Code Unicorn LLC,,Documentation,,"Accessibility, Development, Multilingual",,"October 16, 2025","November 12, 2025 9:54 AM",,High,,,,,,,,https://digitalallies.net/,On The List,
Digital Allies Brand Site,,Anthony Cassella,,,,,Yes,,Complete,,,Code Unicorn LLC,,,,,,,"October 22, 2025 4:53 PM",,,,,"Digital Allies - Animated Logo CSS & JS Code, Colors & Fonts  (Digital%20Allies%20-%20Animated%20Logo%20CSS%20&%20JS%20Code,%20Colo%2028afc742b9f781f78006fdcde4d81946.html)",,,,,https://logo-guide.figma.site/,New,
Knowledge Entry Templates,,,,,,,,,,,,Code Unicorn LLC,,,,,,,"October 26, 2025 10:34 AM",,,,,,,,,,,New,
